Domain,Subcategory,Requirement,Best Match from Service Org Framework,Similarity Score,Match Type
Risk Assessment (ID.RA),ID.RA-1: Asset vulnerabilities are identified and documented,"ID.RA-1.2: A process shall be established to monitor, identify, and document vulnerabilities of the organisation's business critical systems in a continuous manner.",ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,0.677650511264801,Partial Match
Risk Assessment (ID.RA),ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources,ID.RA-2.1: A threat and vulnerability awareness program that includes a cross-organization information-sharing capability shall be implemented. ,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,0.6503180265426636,Partial Match
Risk Assessment (ID.RA),"ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","BASIC_ID.RA-5.1: The organization shall conduct risk assessments in which risk is determined by threats, vulnerabilities and impact on business processes and assets.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7774888277053833,Partial Match
Risk Assessment (ID.RA),"ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","ID.RA-5.2: The organization shall conduct and  document risk assessments in which risk is determined by threats, vulnerabilities, impact on business processes and assets, and the likelihood of their occurrence.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7951779365539551,Partial Match
Risk Assessment (ID.RA),ID.RA-6: Risk responses are identified and prioritized,"ID.RA-6.1: A comprehensive strategy shall be developed and implemented to manage risks to the organization’s critical systems, that includes the identification and prioritization of risk responses.","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.7435449361801147,Partial Match
Risk Management Strategy (ID.RM),"ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders","ID.RM-1.1: A cyber risk management process that identifies key internal and external stakeholders and facilitates addressing risk-related issues and information shall be created, documented, reviewed, approved, and updated when changes occur.",GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders (formerly ID.RM-01),0.6535303592681885,Partial Match
Risk Management Strategy (ID.RM),ID.RM-2: Organizational risk tolerance is determined and clearly expressed,ID.RM-2.1: The organization shall clearly determine it’s risk appetite.,"GV.RM-02: Risk appetite and risk tolerance statements are determined, communicated, and maintained (formerly ID.RM-02, ID.RM-03)",0.7381582260131836,Partial Match
Risk Management Strategy (ID.RM),ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID.RM-3.1: The organization’s role in critical infrastructure and its sector shall determine the organization’s risk appetite.,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders (formerly ID.RM-01),0.6656497716903687,Partial Match
Supply Chain Risk Management (ID.SC),"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ","ID.SC-2.1: The organization shall conduct cyber supply chain risk assessments at least annually or when a change to the organization’s critical systems, operational environment, or supply chain occurs; These assessments shall be documented, and the results disseminated to relevant stakeholders including those responsible for ICT/OT systems.","GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes (formerly ID.SC-02)",0.6759427785873413,Partial Match
Supply Chain Risk Management (ID.SC),ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,"ID.SC-3.1: Based on the results of the cyber supply chain risk assessment, a contractual framework for suppliers and external partners shall be established to address sharing of sensitive information and distributed and interconnected ICT/OT products and services.","GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.7551704049110413,Partial Match
Supply Chain Risk Management (ID.SC),"ID.SC-4: Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.","ID.SC-4.1: The organization shall review assessments of suppliers’ and third-party partner’s compliance with contractual obligations by routinely reviewing audits, test results, and other evaluations.","GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.501481294631958,Partial Match
Supply Chain Risk Management (ID.SC),ID.SC-5: Response and recovery planning and testing are conducted with suppliers and third-party providers,ID.SC-5.1: The organization shall identify and document key personnel from suppliers and third-party partners to include them as stakeholders in response and recovery planning activities.,"GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally (formerly ID.AM-06)",0.5203046798706055,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","BASIC_PR.AC-1.1: Identities and credentials for authorized devices and users shall be managed.
",,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","PR.AC-1.2: Identities and credentials for authorized devices and users shall be managed, where feasible through automated mechanisms.",,,
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-2: Physical access to assets is managed and protected,"BASIC_PR.AC-2.1: Physical access to the facility, servers and network components shall be managed.","PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5572104454040527,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-2: Physical access to assets is managed and protected,PR.AC-2.2: The management of physical access shall include measures related to access in emergency situations.,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5406684875488281,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-3: Remote access is managed,BASIC_PR.AC-3.1: The organisation's wireless access points shall be secured.,,,
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-3: Remote access is managed,"BASIC_PR.AC-3.2: The organization's networks when accessed remotely shall be secured, including through multi-factor authentication (MFA). ","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.6059070229530334,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-3: Remote access is managed,"PR.AC-3.3: Usage restrictions, connection requirements, implementation guidance, and authorizations for remote access to the organization’s critical systems environment shall be identified, documented and implemented.",,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",BASIC_PR.AC-4.1: Access permissions for users to the organization’s systems shall be defined and managed.,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.7758499979972839,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",BASIC_PR.AC-4.2: It shall be identified who should have access to the organization's business's critical information and technology and the means to get access.,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)",0.5000838041305542,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","BASIC_PR.AC-4.3: Employee access to data and information shall be limited to the systems and specific information they need to do their jobs (the principle of Least Privilege).
",,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","BASIC_PR.AC-4.4: Nobody shall have administrator privileges for daily tasks.
","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.5190695524215698,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","PR.AC-4.5: Where feasible, automated mechanisms shall be implemented to support the management of user accounts on the organisation's critical systems, including disabling, monitoring, reporting and deleting user accounts.","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.5440038442611694,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR.AC-4.6: Separation of duties (SoD) shall be ensured in the management of access rights.,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.6800843477249146,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",PR.AC-4.7: Priviliged users shall be managed and monitored.,,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",BASIC_PR.AC-5.1: Firewalls shall be installed and activated on all the organization's networks.,,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)","BASIC_PR.AC-5.2: Where appropriate, network integrity of the organization's critical systems shall be protected by incorporating network segmentation and segregation.",,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)","PR.AC-5.3: Where appropriate, network integrity of the organization's critical systems shall be protected by
(1) Identifying, documenting, and controlling connections between system components.
(2) Limiting external connections to the organization's critical systems.",,,
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)",PR.AC-5.4: The organization shall monitor and control connections and communications at the external boundary and at key internal boundaries within the organization's critical systems by implementing boundary protection devices where appropriate.,,,
"Identity Management, Authentication and Access Control (PR.AC)",PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions,PR.AC-6.1: The organization shall implement documented procedures for verifying the identity of individuals before issuing credentials that provide access to organization's systems.,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)",0.7110256552696228,Partial Match
"Identity Management, Authentication and Access Control (PR.AC)","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)","PR.AC-7.1: The organization shall perform a documented risk assessment on organization's critical system transactions and authenticate users, devices, and other assets (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks).","ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization",0.5722208023071289,Partial Match
Awareness and Training (PR.AT),PR.AT-1: All users are informed and trained ,BASIC_PR.AT-1.1: Employees shall be trained as appropriate.,,,
Awareness and Training (PR.AT),PR.AT-1: All users are informed and trained ,PR.AT-1.2: The organization shall incorporate insider threat recognition and reporting into security awareness training.,"PR.AT-02: Individuals in specialized roles are provided awareness and training so they possess the knowledge and skills to perform relevant tasks with security risks in mind (formerly PR.AT-02, PR.AT-03, PR.AT-04, PR.AT-05)",0.7273918986320496,Partial Match
Awareness and Training (PR.AT),PR.AT-2: Privileged users understand their roles and responsibilities ,"PR.AT-2.1: Privileged users shall be qualified before privileges are granted, and these users shall be able to demonstrate the understanding of their roles, responsibilities, and authorities.","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)",0.5854904651641846,Partial Match
Awareness and Training (PR.AT),"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",PR.AT-3.1: The organization shall establish and enforce security requirements for business-critical third-party providers and users.	,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)",0.507868766784668,Partial Match
Awareness and Training (PR.AT),"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ","PR.AT-3.2: Third-party providers shall be required to notify any personnel transfers, termination, or transition involving personnel with physical or logical access to organization's business critical system's components.	",,,
Awareness and Training (PR.AT),"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",PR.AT-3.3:The organization shall monitor business critical service providers and users for security compliance.,,,
Awareness and Training (PR.AT),PR.AT-4: Senior executives understand their roles and responsibilities ,"PR.AT-4.1: Senior executives shall demonstrate the understanding of their roles, responsibilities, and authorities.",,,
Awareness and Training (PR.AT),PR.AT-5: Physical and cybersecurity personnel understand their roles and responsibilities ,"PR.AT-5.1: The organization shall ensure that personnel responsible for the physical protection and security of the organization's critical systems and facilities are qualified through training before privileges are granted, and that they understand their responsibilities.",,,
Data Security (PR.DS),PR.DS-1: Data-at-rest is protected,"PR.DS-1: Persistent storage locations such as servers, end user devices, storage buckets, databases should be encrypted",,,
Data Security (PR.DS),PR.DS-2: Data-in-transit is protected,PR.DS-2: Data should be encrypted in transit using TLS or similar encryption schemes,,,
Data Security (PR.DS),"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition",BASIC_PR.DS-3.1: Assets and media shall be disposed of safely.,,,
Data Security (PR.DS),"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition","PR.DS-3.2: The organization shall enforce accountability for all its business-critical assets throughout the system lifecycle, including removal, transfers, and disposition.",,,
Data Security (PR.DS),"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition","PR.DS-3.3: The organization shall ensure that the necessary measures are taken to deal with  loss, misuse, damage, or theft of assets.",,,
Data Security (PR.DS),PR.DS-4: Adequate capacity to ensure availability is maintained,"PR.DS-4.1: Capacity planning shall ensure adequate resources for organization's critical system information processing, networking, telecommunications, and data storage.",PR.IR-04: Adequate resource capacity to ensure availability is maintained (formerly PR.DS-04),0.717253565788269,Partial Match
Data Security (PR.DS),PR.DS-4: Adequate capacity to ensure availability is maintained,PR.DS-4.2: Audit data from the organization's critical systems shall be moved to an alternative system.,,,
Data Security (PR.DS),PR.DS-5: Protections against data leaks are implemented,"PR.DS-5.1: The organization shall take appropriate actions resulting in the monitoring of its critical systems at external borders and critical internal points when unauthorized access and activities, including data leakage, is detected.",,,
Data Security (PR.DS),"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity","PR.DS-6.1: The organization shall implement software, firmware, and information integrity checks to detect unauthorized changes to its critical system components during storage, transport, start-up and when determined necessary.",,,
Data Security (PR.DS),PR.DS-7: The development and testing environment(s) are separate from the production environment,PR.DS-7.1: Production environment should be segregated from the Non production environment using logical or network segregation,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),"PR.IP-1.1: The organization shall develop, document, and maintain a baseline configuration for the its business critical systems.","PR.PS-01: Configuration management practices are applied (formerly PR.IP-01, PR.IP-03, PR.PT-02, PR.PT-03)",0.6568431854248047,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-2: A System Development Life Cycle to manage systems is implemented,PR.IP-2.1: The system and application development life cycle shall include security considerations.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-3: Configuration change control processes are in place,PR.IP-3.1: Changes shall be tested and validated before being implemented into operational systems.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",BASIC_PR.IP-4.1: Backups for organization's business critical data shall be conducted and stored on a system different from the device on which the original data resides.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",PR.IP-4.2: The reliability and integrity of backups shall be verified and tested on regular basis.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-4: Backups of information are conducted, maintained, and tested ",PR.IP-4.3: A separate alternate storage site for system backups shall be operated and the same security safeguards as the primary storage location shall be employed.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met,"PR.IP-5.1: The organization shall define, implement, and enforce policy and procedures regarding emergency and safety systems, fire protection systems, and environment controls for its critical systems.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-6: Data is destroyed according to policy,PR.IP-6.1: The organization shall ensure that its critical system's data is destroyed according to policy.,"PR.DS-09: Data is managed throughout its life cycle, including destruction (formerly PR.IP-06)",0.6869285702705383,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-7: Protection processes are improved,"PR.IP-7.1: The organization shall incorporate improvements derived from the monitoring, measurements, assessments, and lessons learned into protection process updates (continuous improvement).","ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked (formerly part of PR.IP-03)",0.5881983041763306,Partial Match
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,PR.IP-8.1: The organization shall collaborate and share information about its critical system's related security incidents and mitigation measures with designated partners.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,PR.IP-8.2: Communication of effectiveness of protection technologies shall be shared with appropriate parties.,,,
Information Protection Processes and Procedures (PR.IP),PR.IP-8: Effectiveness of protection technologies is shared ,"PR.IP-8.3: The organization shall implement, where feasible, automated mechanisms to assist in information collaboration.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,"PR.IP-9.1: Incident response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) shall be established, maintained, approved, and tested to determine the effectiveness of the plans, and the readiness to execute the plans.",RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,0.727925181388855,Partial Match
Information Protection Processes and Procedures (PR.IP),"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",BASIC_PR.IP-11.1: Personnel having access to the organization’s most critical information or technology shall be verified.,,,
Information Protection Processes and Procedures (PR.IP),"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","PR.IP-11.2: Develop and maintain a human resource information/cyber security process that is applicable when recruiting, during employment and at termination of employment.",,,
Information Protection Processes and Procedures (PR.IP),PR.IP-12: A vulnerability management plan is developed and implemented,PR.IP-12.1: The organization shall establish and maintain a documented process that allows continuous review of vulnerabilities and strategies to mitigate them.,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)",0.5330058932304382,Partial Match
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",BASIC_PR.MA-1.1: Patches and security updates for Operating Systems and critical system components shall be installed.,,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.2: The organization shall plan, perform and document preventive maintenance and repairs on its critical system components according to approved processes and tools.",,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.3: The organization shall enforce approval requirements, control, and monitoring of maintenance tools for use on the its critical systems.",,,
Maintenance (PR.MA),"PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","PR.MA-1.4: The organization shall verify security controls following hardware maintenance or repairs, and take action as appropriate.",,,
Maintenance (PR.MA),"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","PR.MA-2.1: Remote maintenance shall only occur after prior approval, monitoring to avoid unauthorised access, and approval of the outcome of the maintenance activities as described in approved processes or procedures.",,,
Maintenance (PR.MA),"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","PR.MA-2.2: The organization shall make sure that strong authenticators, record keeping, and session termination for remote maintenance is implemented.",,,
Protective Technology (PR.PT),"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","BASIC_PR.PT-1.1: Logs shall be maintained, documented, and reviewed.",PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.6683157682418823,Partial Match
Protective Technology (PR.PT),"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR.PT-1.2: The organization shall ensure that the log records include an authoritative time source or internal clock time stamp that are compared and synchronized  to an authoritative time source. ,PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01),0.6374140381813049,Partial Match
Protective Technology (PR.PT),PR.PT-2: Removable media is protected and its use restricted according to policy,PR.PT-2.1: The usage restriction of portable storage devices shall be ensured through an appropriate documented policy and supporting safeguards.,,,
Protective Technology (PR.PT),PR.PT-2: Removable media is protected and its use restricted according to policy,"PR.PT-2.2: The organisation should technically prohibit the connection of removable media unless strictly necessary; in other instances, the execution of autoruns from such media should be disabled.",,,
Protective Technology (PR.PT),PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,PR.PT-3.1: The organization shall configure the business critical systems to provide only essential capabilities.,,,
Protective Technology (PR.PT),PR.PT-4: Communications and control networks are protected,BASIC_PR.PT-4.1: Web and e-mail filters shall be installed and used.,,,
